,Gender,Age,Education,Monthly Household Income,Social Identity,Residential Area,Overseas Travel Experience,Travel Experience to Mainland,Friend/Relatives in Mainland China,label
142,2,1,3,1,1,2,1,3,1,0
143,2,1,3,2,1,3,3,2,2,0
144,2,4,1,3,1,2,3,3,1,2
145,1,3,3,3,1,3,3,3,1,0
146,2,2,1,3,1,3,3,3,1,0
147,2,4,1,2,1,3,3,2,2,2
148,1,1,3,4,5,3,3,3,1,1
149,1,4,3,4,1,3,3,4,2,2
150,1,3,1,2,1,2,3,2,2,2
151,1,2,3,3,4,1,3,4,2,1
152,1,2,2,2,1,3,2,4,1,0
153,2,2,2,4,1,3,3,3,1,0
154,2,2,1,3,2,3,3,3,1,2
155,2,2,3,2,1,3,3,3,1,0
156,1,2,2,4,2,3,3,4,1,0
157,1,3,1,2,1,2,3,3,1,2
158,2,2,3,3,1,2,3,2,2,0
159,2,1,3,2,1,2,3,3,1,0
160,1,2,2,3,1,3,3,3,1,0
161,1,3,2,2,3,3,3,2,2,1
162,1,3,3,4,4,1,3,3,1,1
163,2,4,3,4,1,3,3,3,1,2
164,2,1,3,2,1,3,3,4,1,0
165,1,3,3,2,1,1,3,3,1,2
166,1,3,3,3,1,3,3,4,1,0
167,1,4,3,2,3,2,3,3,1,1
168,2,2,3,2,1,3,3,2,2,0
169,2,1,3,2,1,3,1,1,2,0
170,1,1,3,2,1,3,2,2,2,0
171,2,1,3,2,1,1,3,2,2,0
172,2,1,3,2,1,3,2,3,1,0
173,2,1,3,2,1,3,3,2,2,0
174,2,2,3,4,4,2,3,3,1,1
175,2,2,1,1,1,3,1,2,2,0
176,2,2,1,2,1,3,3,2,2,0
177,1,2,1,1,3,2,2,2,2,1
178,2,1,3,3,1,3,3,3,1,0
179,1,2,3,2,5,1,3,2,2,1
180,2,3,3,3,1,1,3,2,2,0
181,2,1,3,2,1,2,3,2,2,0
182,1,2,2,2,1,1,3,2,2,0
183,2,2,1,2,1,3,3,3,1,0
184,1,1,3,4,1,1,2,2,1,0
185,2,2,3,2,1,1,2,3,1,0
186,2,2,3,4,4,1,3,4,2,1
187,2,2,2,3,1,2,3,2,2,0
188,1,3,3,2,3,3,3,3,1,1
189,1,2,3,4,1,3,3,3,1,0
190,2,2,3,3,3,3,3,3,1,1
191,1,4,3,3,4,1,3,4,1,1
192,1,3,3,4,1,1,3,2,2,0
193,1,3,2,1,3,3,2,3,1,1
194,2,2,1,3,1,3,3,2,2,0
195,2,3,3,2,1,2,3,2,2,2
196,2,2,3,4,1,3,3,3,1,0
197,2,3,2,4,3,1,3,2,2,1
198,1,2,1,1,1,3,3,3,1,0
199,1,2,3,3,1,3,3,3,1,0
200,1,1,3,3,1,3,3,3,1,0
