COPT,0.545,-0.167,-0.114
CYPT,0.74,0.2,-0.217
CYIT,0.427,0.41,-0.045
COIT,0.642,-0.032,0.012
KOPT,0.187,-0.695,-0.151
KYIT,-0.072,0.696,0.216
JOPT,-0.389,-0.431,0.043
JYIT,-0.313,0.442,0.116
EAOIT,-0.568,-0.012,-0.415
EAYIT,-0.361,0.449,-0.325
EAOPT,-0.402,-0.362,-0.549
TOPT,0.095,-0.582,0.413
TYIT,-0.224,0.362,0.345
TOIT,-0.306,-0.278,0.671
