,Gender,Age,Education,Monthly Household Income,Social Identity,Residential Area,Overseas Travel Experience,Travel Experience to Mainland,Friend/Relatives in Mainland China,label
0,2,3,2,3,3,2,3,3,1,3
1,2,2,3,3,4,3,2,3,1,3
2,2,2,3,3,1,2,3,3,1,1
3,1,4,1,2,1,2,2,3,1,0
4,2,3,2,3,4,2,2,3,1,3
5,1,2,3,4,1,3,3,2,2,1
6,2,1,3,3,1,2,3,2,2,1
7,2,2,3,4,1,1,3,4,2,1
8,2,2,3,4,3,1,3,3,1,3
9,2,2,3,3,1,3,3,3,1,1
10,2,2,3,3,1,3,3,3,1,1
11,1,2,3,2,1,3,3,2,2,2
12,2,2,2,4,4,2,3,2,2,3
13,1,1,2,2,1,2,3,4,1,2
14,1,1,1,2,1,2,1,1,2,2
15,2,2,3,3,1,1,3,2,1,1
16,1,2,3,2,1,1,3,2,2,2
17,2,1,3,2,1,3,2,3,1,2
18,2,3,3,4,1,2,3,3,1,1
19,2,1,1,1,1,3,2,3,1,2
20,1,3,1,3,1,2,1,3,1,0
21,1,1,3,2,4,3,3,3,1,3
22,1,2,3,3,1,3,3,3,1,1
23,1,3,3,4,4,3,3,3,1,3
24,1,2,2,2,1,3,2,2,1,2
25,1,1,3,2,1,1,3,3,1,2
26,1,2,3,2,1,3,3,3,1,2
27,2,2,3,3,1,2,3,3,1,1
28,2,3,1,2,4,2,3,4,1,3
29,2,3,2,3,3,2,3,2,1,3
30,2,1,3,4,1,2,2,3,1,1
31,1,2,3,2,1,2,3,1,1,2
32,2,1,3,3,1,3,3,3,1,1
33,2,2,1,3,4,3,3,4,1,3
34,2,2,3,3,1,3,3,3,1,1
35,1,1,3,4,1,3,3,3,1,1
36,1,1,3,3,1,3,3,3,2,1
37,2,1,3,4,3,3,3,3,1,1
38,1,2,3,2,4,2,2,3,1,3
39,1,1,3,3,1,2,2,3,1,1
40,1,2,3,4,1,2,3,3,1,1
41,1,1,3,2,1,2,3,2,2,2
42,2,1,3,4,1,1,3,3,1,1
43,1,2,3,4,1,2,3,2,2,1
44,1,2,3,3,1,3,3,3,1,1
45,1,2,3,4,1,1,3,3,1,1
46,1,1,3,3,1,1,2,3,1,1
47,1,3,3,4,1,2,2,1,2,1
48,2,2,3,3,1,3,3,2,2,1
49,1,1,2,2,1,2,3,2,1,2
50,2,2,2,2,1,3,3,2,1,2
51,2,3,1,2,1,3,2,2,2,0
52,2,2,1,2,1,3,3,2,2,2
53,2,3,1,4,1,3,3,3,1,0
54,2,3,1,4,4,3,3,2,2,3
55,1,4,1,2,3,3,3,2,2,0
56,2,3,1,2,3,3,3,3,1,3
57,2,4,1,1,1,3,3,2,1,0
58,1,1,2,2,1,3,2,2,1,2
59,2,4,1,2,1,2,3,2,2,0
60,2,1,1,1,1,2,2,1,2,2
61,1,4,1,1,3,3,1,3,2,0
62,1,1,1,1,1,3,1,1,1,2
63,2,4,1,4,1,2,3,3,1,0
64,1,4,1,1,1,2,3,3,1,0
65,2,4,1,2,4,3,3,3,1,3
66,2,4,1,4,4,3,3,2,2,3
67,2,1,1,1,1,2,1,4,2,2
68,2,4,1,1,3,2,2,4,1,0
69,2,3,1,4,1,3,3,2,1,0
70,2,4,1,1,1,2,2,2,1,0
71,2,1,1,1,1,3,3,1,1,2
72,2,1,1,1,1,3,3,3,1,2
73,2,3,1,4,1,3,3,2,1,0
74,2,2,2,1,1,3,3,2,1,2
75,1,2,3,3,1,3,3,2,1,1
76,2,2,1,2,4,2,3,3,1,3
77,2,2,1,2,2,3,2,4,1,2
78,2,4,1,4,1,1,3,1,2,0
79,1,3,1,2,1,2,3,2,2,0
80,2,3,1,4,3,2,3,3,1,3
81,2,4,1,2,3,2,3,2,1,0
82,1,1,2,1,4,2,2,2,2,3
83,2,1,2,1,1,3,2,2,2,2
84,1,4,1,4,4,3,3,2,1,3
85,1,3,2,3,1,2,3,2,2,0
86,1,2,1,2,1,3,3,3,1,2
87,1,3,2,3,1,1,3,2,2,0
88,1,1,2,3,1,3,2,4,1,1
89,1,4,1,3,2,1,3,2,1,0
90,2,1,1,1,1,3,3,2,1,2
91,2,4,1,1,1,3,1,4,1,0
92,2,4,1,4,3,3,3,2,1,3
93,2,4,1,3,1,3,3,3,1,0
94,2,4,1,1,1,3,2,2,2,0
95,2,4,1,4,1,1,3,3,1,0
96,1,4,1,1,1,2,3,3,1,0
97,2,4,1,3,3,2,3,2,2,0
98,1,4,2,1,1,2,3,4,1,0
99,2,4,1,4,1,1,3,2,2,0
100,1,4,1,4,1,3,3,2,2,0
101,1,4,1,4,2,3,3,3,1,0
102,2,4,1,4,3,3,3,4,1,3
103,1,4,1,4,1,3,3,4,1,0
104,2,4,1,1,4,2,1,2,2,3
105,1,4,2,4,1,3,3,3,1,0
106,2,4,1,2,4,1,2,2,2,3
107,1,2,1,3,1,3,3,4,1,0
108,1,4,2,2,1,2,3,4,1,0
109,1,4,3,1,2,1,3,2,2,0
110,2,4,3,3,3,2,3,3,1,3
111,2,2,2,1,1,1,3,3,1,2
